"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "HTML", "Dotenv", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\UserDto.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, -8, -3, -31
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Data\AppDbContext.cs", "C#", 0, 0, 0, 0, 0, 0, -622, 0, 0, 0, -178, -800
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\admin.cs", "C#", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -4, -12
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\category.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\client.cs", "C#", 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, -18, -40
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\client_company.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -13, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\company.cs", "C#", 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -32, -68
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\company_integration.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -13, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\company_user.cs", "C#", 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -11, -26
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\courier.cs", "C#", 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -14, -32
